accession,proteinClass
Q6S5L8,None
Q96HL8,None
Q6GV28,None
Q96PQ1,None
O60902,TF
O15266,TF
Q9BZQ2,None
Q9BTD1,None
Q92185,Enzyme
O43699,None
Q9Y336,None
P61165,None
Q9NX78,None
Q2M3C6,None
P0DMW4,None
P0DMW5,None
Q9NVV0,IC
Q4G0N8,Transporter
Q14940,Transporter
Q96T83,Transporter
Q96PX8,None
Q9H156,None
Q8IW52,None
O94991,None
Q5PRF9,None
Q9Y3A6,None
O00193,None
P38935,None
B2RUZ4,None
P61278,None
Q9NVA2,None
Q8IYM1,None
Q15019,None
Q12884,Enzyme
P78330,Enzyme
O43175,Enzyme
Q96HI0,Enzyme
A6NH21,None
Q8TD22,None
Q9H5K3,Kinase
Q8TD33,None
Q9H9B4,None
Q92629,None
Q6P4A7,None
Q96LW2,Kinase
Q16586,None
Q9BX95,Enzyme
Q13796,None
Q68D42,None
A2RU14,None
Q99961,None
Q08ET2,None
H0YL14,None
Q5SQS7,None
Q8TBM7,None
Q9Y2K2,Kinase
E9PQX1,None
O15466,Enzyme
Q9HAT2,Enzyme
Q96HG1,None
Q96EB6,Epigenetic
Q9Y6E7,Epigenetic
Q8NCS4,None
P84550,None
Q14493,None
Q8TBK2,Epigenetic
Q8WV19,None
Q8IUQ4,Enzyme
Q8TF72,None
Q9P0N5,None
Q9P2F8,None
Q6QAJ8,None
Q8NEM2,None
O95470,Enzyme
Q9UQ13,None
Q99963,None
Q96B97,Enzyme
Q9NP31,None
Q8NBJ9,None
Q9H788,None
Q9UHJ6,Kinase
Q8N2U0,None
Q92186,Enzyme
Q6PI26,None
P61647,Enzyme
P0DJ93,None
Q9H106,None
Q53FP2,None
Q9Y448,None
P12757,None
Q9P0V8,None
Q9Y2E8,Transporter
Q8IVB4,Transporter
O75094,None
Q13239,None
Q14BN4,None
Q8IY92,Enzyme
P62316,None
P62318,None
Q96GM5,None
Q9NRQ5,None
O43761,None
Q9BXW3,None
Q8N474,None
P0C7M3,None
Q5T4F7,None
Q99720,None
Q6ZV89,None
Q9Y2Z0,None
Q8TEC5,Enzyme
O43765,None
Q9NR46,None
A6NL88,None
A6NMB1,None
Q6IA17,None
Q9UNP4,Enzyme
Q969X2,Enzyme
Q8N7X8,None
Q9NYZ4,None
Q0VDI3,None
Q5TFQ8,None
P0DMW3,None
Q96QK8,None
Q9P1W8,None
Q15475,TF
Q8N5G0,None
Q8N196,TF
O75264,None
Q86UD5,Transporter
Q6AI14,Transporter
Q9P270,None
P12755,None
Q7Z7L1,None
Q9H2G2,Kinase
Q499Z3,None
O94933,None
Q5VYV7,None
Q6UXY8,IC
P0DPE8,None
Q7Z7H5,None
Q9NZC9,None
Q8WW62,None
Q9Y3B3,None
Q96Q15,Kinase
Q9BZJ3,Enzyme
Q9NRR2,Enzyme
P07477,Enzyme
Q9BY10,Transporter
Q5SRN2,None
Q96PP4,None
P98066,None
Q9NRE2,None
P16473,GPCR
O95858,None
Q9UKR8,None
Q9H1Z9,None
A1L157,None
O95859,None
Q99598,None
O60637,None
Q5TGU0,None
P07996,None
P35442,None
P0CW01,None
Q9UJK0,None
Q96PF2,Kinase
Q9H2G4,None
Q6IQ55,Kinase
Q86VY4,None
Q8NBP0,None
Q8NDW8,None
Q9NQE7,Enzyme
Q96AY4,None
Q5SRH9,None
A2A3L6,None
Q6P3X3,None
A8MYJ7,None
Q92623,None
Q8N6N2,None
P53804,Enzyme
Q86TZ1,None
Q9UNY4,None
Q6NXR4,None
P33981,Kinase
P49638,None
Q9Y4R7,Enzyme
Q9BZA0,None
Q9BZ98,None
Q9H313,IC
Q9NNX1,None
O00294,TF
O75386,TF
Q5TAX3,Enzyme
A0A0B4J264,None
Q5VYS8,Enzyme
Q9P2J2,None
A0A087WSZ9,None
A0A0B4J273,None
A0A0B4J280,None
A0A577,None
A0A539,None
A0A0A6YYK1,None
A0A597,None
A0A5A2,None
A0A075B6T8,None
A0A087WT02,None
A0A087WT03,None
A0A0B4J265,None
A0A0A6YYD4,None
A0A087X0M5,None
A0A075B6N1,None
A0A075B6N3,None
A0A0J9YWL9,None
A0A0J9YY54,None
Q9BY14,None
Q9Y6I9,None
Q6PKC3,None
P53007,Transporter
O95551,Enzyme
Q9Y5L4,Enzyme
Q8NCL8,None
Q9NPI0,None
Q7Z5S9,None
P28908,None
P19438,None
Q9H3S4,Kinase
Q9UET6,Enzyme
Q9Y5R8,None
Q5T2D2,None
P02766,None
A6PVC2,Enzyme
Q3SXZ7,Enzyme
A6NNM8,Enzyme
Q9BTX7,None
Q9BZ97,None
Q9C0H2,IC
A0A5B7,None
A0A0B4J268,None
Q96ET8,None
A0A0K0K1A5,None
A0A1B0GX95,None
A0A087WV62,None
A0A0K0K1A3,None
A0A0K0K1G8,None
A0A5A6,None
P01733,None
A0A0B4J2E0,None
A0A1B0GX78,None
Q12792,None
Q9GZX9,None
Q6IBS0,None
Q15672,TF
O14907,None
P40222,None
Q2T9J0,Enzyme
Q8TAI1,None
P25490,TF
Q16560,None
A1L167,None
Q9Y5S1,IC
Q9HBA0,IC
Q96A04,None
Q8TE23,GPCR
P07478,Enzyme
Q8WU66,None
Q9BZW7,None
P01222,None
Q9UJT2,Enzyme
Q8WUA8,None
Q969D9,None
P19075,None
Q96QS1,None
Q8NG11,None
Q969E8,None
O43657,None
P41732,None
Q9Y5U2,None
Q9H489,None
Q96PN8,Kinase
Q9UJ04,None
Q6PF05,None
Q86WT1,None
Q96NG3,None
Q49AM3,None
Q5I0X7,None
Q8TAM2,None
Q6PGP7,None
Q5R3I4,None
Q6P2S7,None
O43156,None
Q6EMB2,Enzyme
Q8N841,Enzyme
Q6ZT98,Enzyme
Q8NHH1,Enzyme
Q14166,Enzyme
Q5BVD1,None
Q14679,Enzyme
Q9BSA4,IC
P50607,TF
P01858,None
Q9NRJ4,TF
Q2TAM9,None
O75896,None
Q13454,None
A0A0B4J275,None
A0A075B6X5,None
A0A0A6YYK7,None
A0A0B4J277,None
A0A075B6W5,None
A0A0B4J272,None
P04437,None
A0A0B4J234,None
P0DPF4,None
A0A075B6V5,None
A0A0B4J263,None
A0A0B4J244,None
A6NH52,None
A0A0B4J266,None
Q9NYZ1,None
A0A0B4J249,None
A0A0B4J237,None
P01737,None
A0A0B4J262,None
A0A0J9YXY3,None
A0A1B0GX49,None
A0A0B4J271,None
A0A0A6YYG3,None
A0A0B4J235,None
A0A1B0GX31,None
A0A0K0K1E9,None
A0A0K0K1C4,None
A0A5B6,None
A0A0K0K1G6,None
A0A0K0K1C0,None
A0A584,None
A0A075B6N2,None
Q8WVJ9,TF
Q86VD9,Enzyme
Q5SRE7,Enzyme
Q9BSJ6,None
Q9NRD5,None
Q9BXM7,Kinase
P0C851,None
Q9GZU8,None
Q8TC59,None
Q494U1,None
Q9NTG1,IC
Q8WXF3,None
Q7Z736,None
Q8NFJ6,GPCR
Q9H4M7,None
Q9HAU0,None
Q9Y2H5,None
Q9ULU4,Epigenetic
Q9P2R6,TF
Q8IUK5,None
Q4KWH8,Enzyme
O00444,Kinase
O00168,IC
Q9HBL7,None
O60733,Enzyme
Q9P212,Enzyme
A8MQ11,Enzyme
Q13670,Enzyme
Q99640,Kinase
Q68D20,None
Q7Z3K3,None
P20264,TF
P63128,None
Q9UBT6,Enzyme
Q5VV67,None
Q8N819,Enzyme
Q9Y570,Enzyme
Q6NYC8,None
A3QJZ6,None
Q9UI14,None
O43663,None
Q5JSZ5,None
Q00LT1,None
Q9UKN5,TF; Epigenetic
Q5TYX0,None
Q9NQV6,TF; Epigenetic
Q5VWM5,None
Q9NQX0,TF; Epigenetic
Q9UKY0,None
P62906,None
O75167,Enzyme
P53611,Enzyme
Q96G03,Enzyme
P11309,Kinase
O75925,TF
Q92521,Enzyme
P01833,None
Q9ULM0,None
Q8TCW9,GPCR
Q92785,Epigenetic
Q6P5Z2,Kinase
P48736,Kinase
Q9HBJ0,None
Q8WY50,None
Q01970,Enzyme
A6NEE1,None
Q15147,Enzyme
Q9UM63,TF
Q96Q06,None
Q8N3E9,Enzyme
Q9BRC7,Enzyme
O14494,Enzyme
O43688,Enzyme
Q8NEB5,Enzyme
Q8NBV4,Enzyme
Q96GD0,Enzyme
O15162,Enzyme
P13796,None
Q9UIW2,None
Q8TBY8,None
A0A0J9YXQ4,None
Q9ULL4,None
Q9ULN7,None
A0A1B0GUJ8,None
P11086,Enzyme
P00439,Enzyme
Q9H3S5,Enzyme
Q6ZWE6,None
Q504Y2,Kinase
Q5SXH7,None
Q9ULL1,None
O94827,None
Q99569,None
P55347,TF
Q13018,Enzyme
Q9Y4G2,None
Q6DJT9,TF
Q00722,Enzyme
O75038,Enzyme
Q9UPG8,TF
Q9Y263,Enzyme
Q13127,TF
Q9NYT0,None
P10745,Enzyme
O60568,Enzyme
Q8N8W4,Enzyme
Q7Z6Z6,Enzyme
Q9NP80,Enzyme
Q14651,None
P51805,None
Q86V59,None
Q9UL41,None
Q6XQN6,Enzyme
Q9P215,None
Q12796,None
O00743,Enzyme
O96001,Enzyme
P49593,Enzyme
P0DPQ3,None
A6NEV1,None
Q6ZRT6,None
Q6ZRP0,None
H0Y7S4,None
P48634,None
Q9NRG1,Enzyme
Q9Y520,None
O75626,TF; Epigenetic
Q5SWL8,None
Q92733,None
Q5VXH5,None
Q96I23,None
Q9NQV7,TF; Epigenetic
P57071,TF; Epigenetic
Q9Y2Y8,None
Q96LW4,Enzyme
Q86SH4,None
E7EW31,None
Q96L21,None
Q02548,TF
Q9Y5B6,None
Q00577,None
P30039,None
A6NKN8,None
Q9UN66,None
Q9Y5F2,None
Q9Y5F1,None
Q9Y5F0,None
Q9Y5E9,None
Q9Y5H9,None
Q9BSM1,None
Q9Y5G7,None
Q9Y5F3,None
Q9Y5H3,None
Q9Y5E5,None
Q9Y5G3,None
Q9Y5E2,None
Q9HCR9,Enzyme
P43116,GPCR
P30086,None
Q96S96,None
Q9NZ42,Enzyme
P41219,None
O15055,None
P11678,Enzyme
O75943,None
Q9UD71,Enzyme
Q86XI6,Enzyme
Q8NI37,Enzyme
Q8TAP8,Enzyme
A6NGN4,None
P02812,None
Q04118,None
P10163,None
O95521,None
Q5VWM4,None
Q96QH2,None
Q86YN6,None
Q9Y255,None
P16471,None
Q8TEM1,None
Q969G6,Enzyme
Q9UKY4,Enzyme
Q15165,Enzyme
Q15166,Enzyme
Q99575,Enzyme
Q13278,None
P23284,Enzyme
P45877,Enzyme
Q08752,Enzyme
Q8WVI7,Enzyme
Q7Z4L9,Enzyme
Q12837,TF
Q8N7G0,None
O95685,Enzyme
A3QJZ7,None
Q13162,None
O60813,None
Q5VTA0,None
P06401,NR
Q9NQV8,TF; Epigenetic
Q9GZV8,TF; Epigenetic
P49643,Enzyme
Q9BU68,None
Q92954,None
Q7Z3G6,None
O15305,Enzyme
O95744,Enzyme
P07738,Enzyme
O60486,None
Q969W9,None
Q8WZA1,Enzyme
Q9UL42,None
Q8NAT1,Enzyme
Q96PV4,None
Q8TF01,None
P29590,None
Q15319,TF
Q5K4E3,Enzyme
Q9ULR3,Enzyme
Q7Z5V6,Enzyme
Q9NXJ5,Enzyme
Q8N3Y7,Enzyme
Q32NB8,Enzyme
Q9Y3A3,None
Q8N2W9,TF
Q8N8J0,Enzyme
Q13492,None
Q92561,Enzyme
P48426,Kinase
Q9GZP4,None
O00562,None
Q9Y237,Enzyme
P78337,TF
Q8NG27,Enzyme
Q0ZLH3,None
Q8TDX9,IC
Q7Z443,IC
Q96PX9,None
Q9HB19,None
Q9HB20,None
Q6P1J6,Enzyme
Q9Y3B1,None
P98161,None
P51178,Enzyme
P09455,None
Q9H4B4,Kinase
Q8IY26,Enzyme
Q8IY17,Enzyme
P13797,None
Q9BX97,None
Q92871,Enzyme
Q15126,Enzyme
O43157,None
O15031,None
P54277,TF
Q96T60,Enzyme
P30405,Enzyme
O43447,Enzyme
Q9BZD4,None
Q9NV35,Enzyme
P49757,None
A8MXV4,None
Q9Y5Y2,None
P11940,None
Q9NRJ5,Enzyme
O95340,Enzyme
Q9BYG4,None
Q460N3,Enzyme
Q9H300,Enzyme
Q96AQ6,None
Q15365,None
Q8TAB3,None
Q8N6Y1,None
Q6V1P9,None
Q9Y5H8,None
O60245,None
Q9Y5H1,None
Q9Y5G4,None
O95613,None
Q9UKZ9,Enzyme
Q96RV3,None
Q8NBM8,Enzyme
P22061,Enzyme
Q9UKJ1,None
Q5T9C9,Enzyme
Q13526,Enzyme
O15428,None
O00625,None
Q9BZ71,None
P48739,None
A2A3N6,None
P12273,None
Q99697,TF
Q96JA3,None
Q8IWE5,None
O43164,Enzyme
Q9NZM6,IC
Q8TD55,None
Q7Z442,IC
Q58EX7,None
Q16512,Kinase
Q3KR16,None
Q9HB21,None
Q13835,None
Q99943,Enzyme
Q8IV08,Enzyme
Q8NHP8,Enzyme
Q63HM9,None
Q99541,None
P08567,None
Q02809,Enzyme
Q7Z2D5,Enzyme
Q8ND90,None
P22103,None
Q9NRX1,None
A6NNX1,None
Q8WVV4,None
Q9UNA4,Enzyme
Q8N328,None
Q9P0K7,None
P16234,Kinase
Q92696,Enzyme
Q8WUB8,Epigenetic
Q7RTV0,Epigenetic
Q16816,Kinase
Q8IWS0,Epigenetic
Q9BWX1,Epigenetic
Q9BRB3,Enzyme
Q5H8A4,Enzyme
O14986,Kinase
O43692,Enzyme
Q9Y2B2,Enzyme
Q9NZF1,None
Q9NQ66,Enzyme
Q96A58,Enzyme
P50120,None
O00469,Enzyme
Q32ZL2,Enzyme
Q9NYY3,Kinase
O43660,None
Q9NWQ8,None
Q8WWQ0,Epigenetic
Q92576,Epigenetic
Q9UIL8,Epigenetic
Q96QT6,Epigenetic
Q86YI8,Epigenetic
O94880,Epigenetic
Q9NRX4,Enzyme
Q9UKJ0,None
Q99570,Kinase
Q9H307,None
Q96BK5,TF
P28069,TF
Q9P0L9,IC
P42336,Kinase
Q9H628,Enzyme
O15120,Enzyme
Q9NRZ7,Enzyme
Q00G26,None
Q0VAA5,None
P00747,Enzyme
Q6UQ28,None
P82980,None
Q9NRZ5,Enzyme
P55058,None
Q9C0D0,Enzyme
Q96LB8,None
O43189,Epigenetic
O60346,Enzyme
P20941,None
O14813,TF
Q8TBX8,Kinase
Q9P1W9,Kinase
Q96S52,Enzyme
Q9BZ72,None
Q13563,IC
Q53GL0,None
Q96S99,None
Q9NWT1,Enzyme
Q9H7P9,None
P42338,Kinase
Q9NW61,None
O00329,Kinase
Q8N2A8,Enzyme
Q15111,Enzyme
P53350,Kinase
O94903,Enzyme
P02753,None
Q96R05,None
Q96AD5,Enzyme
Q9NST1,Enzyme
P41247,Enzyme
Q6ZV29,Enzyme
Q5EBL8,None
Q96HM7,Enzyme
P0DJD9,Enzyme
Q6WBX8,None
Q9BX93,Enzyme
Q96FC7,Enzyme
Q86UU1,None
Q9H0N5,Enzyme
P37287,Enzyme
Q86V86,Kinase
Q9UMS5,None
Q6UXB8,Enzyme
Q5UE93,Enzyme
Q9HB75,None
P78356,Kinase
Q3MUY2,Enzyme
Q9UG56,Enzyme
Q9H5P4,None
Q01813,Kinase
Q8NFJ5,GPCR
P17858,Kinase
P00558,Kinase
Q9BTL3,None
O60895,None
Q9NYR8,Enzyme
Q96PD5,Enzyme
Q99623,None
P36871,Enzyme
Q99453,TF
O75928,TF
Q8TEQ8,Enzyme
Q8N3S3,None
Q9H490,None
Q9NUD9,Enzyme
P16284,None
P18669,Enzyme
Q9H720,None
Q9Y5P3,None
Q5U651,None
A6NC62,None
O60894,None
A6NFU8,Enzyme
O75594,None
P61574,None
Q9UPP1,Epigenetic
Q9BVI0,Epigenetic
Q9BUL5,Epigenetic
Q9NWS0,None
Q9NQM4,None
Q9BRX2,None
Q8N2H9,Enzyme
P08237,Kinase
Q75T13,Enzyme
Q15198,None
P21810,None
P15735,Kinase
Q7Z4M0,None
Q86SQ0,None
Q9P1Y6,Epigenetic
A4QPH2,Enzyme
Q07326,None
Q86WI1,None
Q9H875,None
O15258,None
Q53H76,Enzyme
Q15195,None
Q02325,None
Q9UPR0,Enzyme
O14921,None
O43566,None
Q96CC6,Enzyme
Q5T5U3,Enzyme
Q7Z5H3,Enzyme
O94844,None
O94955,None
P18577,None
Q6P4F7,Enzyme
Q3KRB8,Enzyme
O43182,Enzyme
A8MT19,None
P62745,Enzyme
Q9NVN3,None
Q4ADV7,None
A6NNM3,None
Q0D2K3,None
P23921,Enzyme
Q9Y4F9,None
Q6ZS11,None
Q86UA6,None
Q53QZ3,Enzyme
Q6ZRI8,Enzyme
A6NI28,Enzyme
Q6ZWK4,None
Q96L33,Enzyme
Q13017,Enzyme
Q8TCX5,None
P61586,Enzyme
Q9BSD3,None
Q7Z5B4,None
Q9NPQ8,None
Q9BVS4,Kinase
Q9Y3A4,None
Q9BRS2,Kinase
Q9HB90,None
P62070,Enzyme
P10301,Enzyme
Q969S9,None
P18621,None
Q96E11,None
Q969X0,None
O43159,Enzyme
Q15050,None
Q8IXN7,Enzyme
Q92766,TF
Q9Y2L1,Enzyme
P83731,None
Q969Q5,Enzyme
Q86UN3,None
Q7Z419,Enzyme
Q9NP72,Enzyme
O95755,Enzyme
P61020,Enzyme
Q8NDT2,None
P01116,Enzyme
Q8NC74,None
O95294,None
Q8NHQ8,None
P61571,None
O95072,None
P00797,Enzyme
Q92900,None
Q86VR2,None
P40938,None
Q9Y644,Enzyme
Q13156,None
Q6ZVN8,None
O15211,None
Q2TAL8,None
Q9UL25,Enzyme
P0C0E4,None
Q13702,None
Q9Y2P8,Enzyme
Q15293,None
Q8NBN7,Enzyme
P61573,None
P78563,Enzyme
Q9BYZ8,None
Q9H1J1,None
P51606,Enzyme
Q9P260,None
O75628,Enzyme
Q96AA3,None
Q8TAC1,None
Q8HWS3,TF
Q2KHR2,TF
A6NFN3,None
Q8N431,None
Q6ZWI9,None
A5PLK6,None
O43665,None
P15927,None
P35244,None
O75677,None
Q8NE09,None
Q17R89,Enzyme
Q07960,Enzyme
P85298,Enzyme
O14559,Enzyme
Q9HBH0,Enzyme
P84095,Enzyme
Q8NHV9,TF
Q9BQY4,TF
Q8N443,None
P52758,Enzyme
Q5UIP0,None
O95153,None
Q9UQ26,None
Q6ZS17,None
Q8WYP3,None
Q6NUQ1,None
Q9HB40,Enzyme
Q06141,None
Q6BDI9,None
Q00765,None
Q96HR9,None
Q04864,TF
O75787,None
Q9HD89,None
Q6WKZ4,None
Q7L804,None
P47804,GPCR
O14924,None
A6NJZ7,None
Q86UR5,None
Q9UFD9,None
Q13671,None
Q9Y572,Kinase
O76021,None
O14683,None
P53816,None
Q9UP65,Enzyme
Q8TE04,Kinase
Q6TCH7,None
O00254,GPCR
Q9BUH6,None
P23759,TF
Q9Y5G0,None
Q9Y5F9,None
Q9Y5F8,None
A6NGG8,None
Q9Y5I4,None
Q9Y5H4,None
P40424,TF
Q4G0U5,None
Q96QU1,None
P48539,None
O60658,Enzyme
Q13258,GPCR
P07237,Enzyme
Q8N165,Kinase
O75340,None
Q14554,Enzyme
Q15084,Enzyme
Q16654,Kinase
Q13946,Enzyme
Q9BRP1,None
Q9Y233,Enzyme
Q08499,Enzyme
Q13951,TF
Q3YEC7,Enzyme
Q9UBV8,None
P63000,Enzyme
P22079,Enzyme
O00541,None
Q92968,None
Q92698,None
Q13608,Enzyme
P10720,None
Q9NQP4,None
Q9BZM1,Enzyme
Q8N0Y7,Enzyme
O15173,None
Q8IZ21,Enzyme
Q9H814,None
Q6ZVK8,Enzyme
P53384,None
O60356,None
Q9GZU5,None
Q86YP4,None
Q8WXI9,TF
P0CB38,None
Q5R387,Enzyme
Q9ULC6,Enzyme
Q9UKS6,Enzyme
Q8N7B6,None
P41586,GPCR
Q9UM07,Enzyme
Q5JUK9,None
O60829,None
O43252,Enzyme
Q9NXK6,None
Q6TCH4,None
Q9HBE1,TF
Q9NWS1,None
P26367,TF
Q9Y5I2,None
Q9Y5G8,None
Q9Y5E7,None
P49023,None
Q8N3A8,Enzyme
P23760,TF
Q6ZW49,None
Q9HCL0,None
Q9GZY1,None
Q5JVF3,None
P35227,None
Q9Y5H0,None
Q9NPG4,None
Q9H6A9,None
Q8WUM4,None
Q9BQ51,None
Q6L8Q7,Enzyme
Q16342,None
Q9BY77,Enzyme
O76083,Enzyme
Q8N8D1,None
Q14432,Enzyme
Q9H2J4,None
Q08493,Enzyme
P29373,None
P55895,Epigenetic
Q6P3X8,None
Q8N414,None
P98160,Enzyme
Q92781,Enzyme
P35408,GPCR
O60437,None
Q9UHJ9,None
P16112,None
Q96HS1,Enzyme
P09619,Kinase
P11234,Enzyme
Q32M88,Enzyme
P07205,Kinase
P23219,Enzyme
O60896,None
A6NDG6,Enzyme
Q15124,Enzyme
P78364,None
P80108,Enzyme
Q6ZVD8,Enzyme
Q13371,None
Q5XG87,Enzyme
P25116,GPCR
Q13219,None
Q9NVE7,Kinase
Q86WK9,None
Q86TB9,None
Q53GL7,Enzyme
Q9BYG5,None
Q9UKK3,Enzyme
P0C8F1,None
Q9NVD7,None
O95453,Enzyme
E2RYF7,None
Q9Y5E1,None
Q96NT5,Transporter
Q9Y5I3,None
Q9Y5I0,None
P42785,Enzyme
Q92824,Enzyme
O95263,Enzyme
Q6P996,Enzyme
Q9Y6F1,Enzyme
Q9Y5H6,None
Q9HC56,None
Q9Y5E3,None
Q15645,Enzyme
P29122,Enzyme
Q9Y5Y4,GPCR
O76074,Enzyme
P16499,Enzyme
P30101,Enzyme
O14737,None
Q15118,Kinase
O43924,Enzyme
Q15120,Kinase
Q9NRA1,None
Q9GZP0,None
O00151,None
Q96JY6,None
Q53GG5,None
P01213,None
P34995,GPCR
Q9H1Q7,Enzyme
Q8IZL8,None
P0DJD7,Enzyme
Q96GW7,None
Q96JS3,None
Q96DM1,None
P05166,Enzyme
O60330,None
Q15116,None
Q13370,Enzyme
P04085,None
P27815,Enzyme
Q07343,Enzyme
P01127,None
A8MUH7,None
Q15121,None
Q9H792,Kinase
Q9GZU2,TF
Q96FA3,Enzyme
P56645,None
Q96FX8,None
P61758,None
O00628,None
P07585,None
Q8N6C7,None
Q8NBL1,Enzyme
Q6P474,Enzyme
Q9NZ53,None
P15153,Enzyme
P07202,Enzyme
P63244,None
Q9NS91,Enzyme
O60671,None
O60216,None
O60683,None
Q9Y5Y5,None
O00623,None
P43088,GPCR
Q9UHV9,None
Q99638,None
P15259,Enzyme
Q8NG50,None
Q96KR7,Enzyme
Q8TEZ7,None
Q86W56,Enzyme
Q8IXQ6,Enzyme
Q9BVG4,None
Q9Y5F6,None
Q9Y5E8,None
Q8NF37,Enzyme
Q96TA0,None
Q3KNV8,None
P40425,TF
Q9P2E7,None
Q16822,Kinase
Q8WW12,None
Q8IXQ8,None
O15534,None
O15212,None
A0A096LP55,None
Q6ZRP7,Enzyme
Q5T6V5,None
Q12829,None
Q9NYW8,TF
Q02833,None
Q16576,None
Q14088,Enzyme
Q96DA2,Enzyme
Q9H2M9,Enzyme
Q04671,None
O15541,None
Q6IQ22,Enzyme
Q8TBN0,None
Q9ULC3,Enzyme
P50876,Enzyme
Q13636,Enzyme
Q9BZG1,Enzyme
Q6ZS82,None
P61006,Enzyme
Q92930,Enzyme
Q9H0N0,Enzyme
O95716,Enzyme
Q92878,None
Q14644,Enzyme
Q7Z444,Enzyme
O14807,Enzyme
P10114,Enzyme
B7ZAP0,Enzyme
Q08999,None
Q96PK6,None
Q9BQ04,None
Q96P65,GPCR
Q08257,Enzyme
P51153,Enzyme
Q9NSD7,GPCR
P51157,Enzyme
P61019,Enzyme
Q96AX2,Enzyme
Q8WUD1,Enzyme
P51148,Enzyme
Q9NRW1,Enzyme
P20338,Enzyme
P61026,Enzyme
P35241,None
P20936,Enzyme
Q70E73,None
P43487,Enzyme
Q86WH2,None
Q8TDY2,None
Q9UBK7,Enzyme
P42696,None
Q96IZ5,None
Q9BTD8,None
P52756,None
Q5T481,None
Q8IUH3,None
Q9UKL0,TF
Q8IZ40,TF
Q2KHR3,None
P10826,NR
Q14964,Enzyme
Q5R372,Enzyme
Q8WXH6,None
Q9Y3P9,Enzyme
Q9NTZ6,None
Q6VN20,None
P38159,None
Q9H1K0,None
Q92804,None
Q9H477,Kinase
P25800,None
P25791,None
Q14206,None
P62877,Enzyme
P0DJD3,None
P0DJD4,None
P18754,None
Q9P258,None
Q9BZE2,Enzyme
Q6UX71,None
P20742,None
Q9H974,Enzyme
Q8N0Z8,Enzyme
Q9UPQ7,Enzyme
Q9H0J4,None
Q96PU8,None
Q9NXS2,Enzyme
Q59GN2,None
Q8TDU9,GPCR
P57735,Enzyme
P61018,Enzyme
Q09MP3,None
Q6MZT1,None
Q15771,Enzyme
P20337,Enzyme
Q9Y620,None
Q96QF0,None
P51149,Enzyme
Q5JT25,Enzyme
Q8N4Z0,Enzyme
Q96AH8,Enzyme
P78406,None
P24386,Enzyme
P26374,Enzyme
Q15907,Enzyme
Q9NUQ2,Enzyme
P09086,TF
Q9UQG0,Enzyme
Q9BXR3,Enzyme
Q8TC44,None
Q9UQK1,Enzyme
Q8IXY8,Enzyme
O75688,Enzyme
P86478,None
Q96KF2,None
Q5VWM6,None
Q86YV5,Kinase
Q13029,TF; Epigenetic
O60810,None
Q70Z35,None
P78395,None
Q5THK1,None
P32119,None
P13727,None
Q9UBK2,None
Q86XR5,None
O14957,None
Q92901,None
Q13637,Enzyme
Q9H0T7,Enzyme
A4D1S5,Enzyme
O75771,None
Q9H5N1,Enzyme
P01112,Enzyme
P10276,NR
P62826,Enzyme
Q9P1G2,None
Q86YV0,None
Q09028,None
P01111,Enzyme
Q7Z6E9,Enzyme
Q6ZMN7,None
Q9UDW1,None
Q8IZP6,None
O43502,None
O14966,Enzyme
Q9ULW5,Enzyme
P51151,Enzyme
Q53S08,None
Q7Z6P3,Enzyme
Q6NSI4,None
Q96JH8,None
Q8IXT5,None
Q8IZ41,None
P62834,Enzyme
Q96IS3,TF
Q9NYN1,Enzyme
P57054,Enzyme
Q92535,Enzyme
Q99755,Kinase
Q14442,Enzyme
P43119,GPCR
P16885,Enzyme
P49763,None
Q9NUJ7,None
Q496M5,Kinase
O60240,None
Q9Y342,IC
P02776,None
Q04941,None
Q9NRY6,Enzyme
Q9NRQ2,Enzyme
Q6P1K2,None
Q9Y4D7,None
Q01453,None
P78424,TF
Q9NP85,None
O00592,None
P20265,TF
Q5JR12,Enzyme
Q9UMR5,Enzyme
Q9H939,Enzyme
P54886,Enzyme
Q9BWT3,Enzyme
Q9BXP8,None
Q86V24,None
P55085,GPCR
P09874,Enzyme
Q8TEW0,None
Q9UGN5,Enzyme
C9JE40,None
Q8WXA2,None
Q2NL67,Enzyme
Q08174,None
Q9UN72,None
Q7L5N7,Enzyme
Q9Y5G6,None
Q9Y5E4,None
P35558,Kinase
Q15154,None
Q96MG8,Enzyme
Q6UW60,Enzyme
A6NKB5,None
Q9Y5K3,Enzyme
Q63HM2,None
Q9NZQ7,None
Q8NBP7,Enzyme
Q14123,Enzyme
Q13113,None
Q5HYI8,Enzyme
P01210,None
Q5VY43,None
Q86TG7,None
Q76G19,None
O60925,None
P40855,None
P15918,None
Q15109,None
Q9H7Z7,Enzyme
P35354,Enzyme
Q7Z5J4,Epigenetic
P11233,Enzyme
Q86SE5,None
Q9UKM9,None
P61457,Enzyme
P29762,None
P0DJD8,Enzyme
P20142,Enzyme
P12955,Enzyme
P05164,Enzyme
P14222,None
O75381,None
O43933,Enzyme
Q99471,None
Q460N5,Enzyme
Q9HBI1,None
P15863,TF
Q8IV76,None
P55771,TF
Q6UWI2,None
Q9UN67,None
Q9UN71,None
Q9UN70,None
P57721,None
Q9UN74,None
O95206,None
Q9H4Z3,None
Q86SE9,None
Q9Y5G5,None
Q9BYE7,None
Q9Y5H2,None
